id,area_used,area,bedroom,wc,juridical,latitude,longitude,seniority,witdh,length,no_hospital_1km,no_school_1km,no_cafe_1km,no_restaurant_1km,no_atm_1km,no_bank_1km,no_supermarket_1km,no_marketplace_1km,no_pharmacy_1km,no_fuel_1km,address_district,address_ward,address_street,price(billionVND)
22539926,225.0,45.0,3.0,5.0,Sổ hồng,10.839188575,106.66107940999996,850.0,5.0,9.0,1.0,12.0,12.0,2.0,3.0,3.0,0.0,1.0,17.0,5.0, Quận Gò Vấp, Phường 11, Thống Nhất,6.5
22524911,126.0,33.0,5.0,6.0,Sổ hồng,10.80700922,106.69161224000004,850.0,3.2,9.5,5.0,13.0,15.0,9.0,11.0,12.0,0.0,4.0,4.0,11.0, Quận Bình Thạnh, Phường 7, Lê Quang Định,5.1
22521691,109.0,63.0,4.0,4.0,Sổ hồng,10.81207228,106.68751907499995,850.0,4.05,12.0,2.0,17.0,9.0,7.0,8.0,3.0,0.0,2.0,1.0,8.0, Quận Bình Thạnh, Phường 5, Lê Quang Định,6.95
22538386,78.0,39.0,2.0,2.0,Sổ hồng,10.805521965,106.70514678999996,850.0,2.8,13.0,1.0,7.0,10.0,4.0,11.0,4.0,0.0,1.0,1.0,7.0, Quận Bình Thạnh, Phường 24, Bùi Đình Túy,4.78
22448804,300.0,60.0,3.0,4.0,Sổ hồng,10.845728395,106.64403915499996,850.0,4.0,15.0,0.0,12.0,6.0,2.0,3.0,0.0,0.0,2.0,8.0,1.0, Quận Gò Vấp, Phường 14, Đường 44,7.2
22534903,100.0,74.0,8.0,5.0,Sổ hồng,10.769290925,106.648452755,15.0,3.75,12.0,1.0,30.0,2.0,7.0,8.0,30.0,0.0,6.0,12.0,9.0, Quận 11, Phường 14, Bình Thới,22.5
22525147,73.0,73.0,6.0,6.0,Sổ hồng,10.79815483,106.69778823499996,18.0,4.0,18.0,5.0,14.0,33.0,41.0,12.0,17.0,0.0,2.0,7.0,8.0, Quận Bình Thạnh, Phường 1, Nơ Trang Long,9.0
22495812,54.0,30.0,2.0,2.0,Sổ hồng,10.765358925,106.66602325500004,2520.0,3.0,9.0,15.0,36.0,45.0,53.0,9.0,32.0,0.0,6.0,16.0,9.0, Quận 10, Phường 8,277/20 Nguyễn Tiểu La,3.7
22436663,79.0,79.0,4.0,3.0,Sổ hồng,10.793345925,106.822265625,2190.0,4.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, Quận 9 (TP. Thủ Đức), Phường Long Trường, Đường số 6,6.1
22392940,60.0,60.0,2.0,2.0,Sổ hồng,10.798748015,106.7009086600001,166.0,5.0,18.0,5.0,12.0,21.0,29.0,10.0,15.0,0.0,2.0,6.0,5.0, Quận Bình Thạnh, Phường 2, Phan Xích Long,3.1
22486604,64.0,64.0,4.0,5.0,Sổ hồng,10.827872275,106.70423507500004,485.0,4.0,16.0,0.0,3.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0, Quận Bình Thạnh, Phường 13, Nơ Trang Long,9.8
22380742,52.0,52.0,4.0,5.0,Sổ hồng,10.878483295,106.67149734500003,2155.0,4.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0, Quận 12, Phường Thạnh Xuân, Quốc Lộ 1A,5.25
22084085,3.0,3.0,70.0,70.0,Sổ hồng,10.7811203,106.70469284499995,2400.0,8.7,29.0,2.0,9.0,163.0,217.0,38.0,44.0,0.0,1.0,4.0,4.0, Quận 1, Phường Bến Nghé, Thái Văn Lung,370.0
22476284,60.0,60.0,4.0,4.0,Sổ hồng,10.80695629,106.60586548000003,2125.0,4.0,15.0,0.0,4.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0, Quận Bình Tân, Phường Bình Hưng Hòa, Đường 26 Tháng 3,5.3
22509242,37.0,37.0,4.0,3.0,Sổ hồng,10.80700922,106.69161224000004,134.0,5.2,7.0,5.0,13.0,15.0,9.0,11.0,12.0,0.0,4.0,4.0,11.0, Quận Bình Thạnh, Phường 7, Phan Đăng Lưu,8.5
22512228,74.0,74.0,3.0,3.0,Sổ hồng,10.81776905,106.77964401500004,2190.0,4.9,15.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Phước Long B, Đường 359,6.0
22396752,80.0,80.0,4.0,4.0,Sổ hồng,10.818707945,106.67919922,166.0,4.0,16.0,1.0,10.0,10.0,2.0,8.0,5.0,0.0,1.0,3.0,4.0, Quận Gò Vấp, Phường 3, Phạm Văn Chiêu,3.15
22485858,68.0,4.0,4.0,5.0,Sổ hồng,10.839188575,106.66107940999996,485.0,4.0,17.0,1.0,12.0,12.0,2.0,3.0,3.0,0.0,1.0,17.0,5.0, Quận Gò Vấp, Phường 11, Nguyễn Văn Khối,7.6
22456611,68.0,68.0,4.0,6.0,Sổ hồng,10.845728395,106.64403915499996,2155.0,4.0,17.0,0.0,12.0,6.0,2.0,3.0,0.0,0.0,2.0,8.0,1.0, Quận Gò Vấp, Phường 14, Phạm Văn Chiêu,11.9
22120776,7.0,7.0,1.0,1.0,Sổ hồng,10.79138,106.68898289999991,2400.0,37.5,56.0,5.0,20.0,73.0,92.0,27.0,38.0,0.0,4.0,8.0,4.0, Quận 1, Phường Tân Định, Võ Thị Sáu,1350.0
22508443,68.0,68.0,3.0,3.0,Sổ hồng,10.80695629,106.60586548000003,2125.0,4.0,17.0,0.0,4.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0, Quận Bình Tân, Phường Bình Hưng Hòa, Đường 26 Tháng 3,5.5
22509239,37.0,37.0,4.0,3.0,Sổ hồng,10.80700922,106.69161224000004,134.0,5.2,7.0,5.0,13.0,15.0,9.0,11.0,12.0,0.0,4.0,4.0,11.0, Quận Bình Thạnh, Phường 7, Lê Quang Định,8.5
22521671,72.0,72.0,3.0,2.0,Sổ hồng,10.81776905,106.77964401500004,2190.0,4.6,17.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Phước Long B, Đường 22,5.7
22396773,60.0,60.0,2.0,2.0,Sổ hồng,10.84701443,106.65066146999992,166.0,4.0,15.0,0.0,10.0,16.0,6.0,3.0,2.0,0.0,1.0,13.0,3.0, Quận Gò Vấp, Phường 9, Đường số 3,1.95
22485856,40.0,40.0,5.0,4.0,Sổ hồng,10.801807405,106.68176651,485.0,4.0,10.0,2.0,16.0,37.0,35.0,30.0,30.0,0.0,4.0,2.0,6.0, Quận Phú Nhuận, Phường 3, Phan Đăng Lưu,8.6
22158483,200.0,200.0,2.0,2.0,Sổ hồng,10.7716012,106.68577576000008,2400.0,10.0,23.0,8.0,16.0,111.0,190.0,44.0,44.0,0.0,7.0,7.0,5.0, Quận 3, Phường 5, Nguyễn Thị Minh Khai,90.0
22513653,73.0,73.0,2.0,1.0,Sổ hồng,10.779310225,106.62740707500006,2125.0,4.05,18.0,0.0,10.0,2.0,3.0,5.0,14.0,0.0,5.0,6.0,12.0, Quận Tân Phú, Phường Phú Thạnh, Thoại Ngọc Hầu,6.7
22515999,75.0,75.0,5.0,5.0,Sổ hồng,10.80700922,106.69161224000004,134.0,5.0,15.0,5.0,13.0,15.0,9.0,11.0,12.0,0.0,4.0,4.0,11.0, Quận Bình Thạnh, Phường 7, Phan Đăng Lưu,15.0
22527495,141.0,141.0,1.0,1.0,Sổ hồng,10.80635738,106.82874298000002,2190.0,4.62,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0, Quận 9 (TP. Thủ Đức), Phường Trường Thạnh, Lò Lu,8.6
22539420,710.0,710.0,6.0,6.0,Sổ hồng,10.83071136,106.61560821500008,1335.0,22.0,32.0,2.0,9.0,1.0,0.0,3.0,5.0,0.0,1.0,0.0,3.0, Quận 12, Phường Tân Thới Nhất, Phan Văn Hớn,69.8
22520231,308.0,44.0,5.0,6.0,Sổ hồng,10.827872275,106.70423507500004,485.0,4.0,11.0,0.0,3.0,9.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0, Quận Bình Thạnh, Phường 13, Phạm Văn Đồng,9.5
22171057,280.0,280.0,2.0,2.0,Sổ hồng,10.80611706,106.71934127999998,2400.0,14.0,20.0,0.0,6.0,12.0,12.0,8.0,9.0,0.0,1.0,0.0,3.0, Quận Bình Thạnh, Phường 25, Đường D2,38.0
22540165,112.0,112.0,15.0,16.0,Sổ hồng,10.81409454,106.62177276500006,2125.0,8.0,14.0,0.0,11.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0, Quận Tân Phú, Phường Tây Thạnh, Nguyễn Hữu Tiến,13.5
22516008,97.0,97.0,21.0,21.0,Sổ hồng,10.744262215,106.69773483000006,134.0,7.0,17.4,1.0,9.0,5.0,13.0,6.0,2.0,0.0,2.0,4.0,4.0, Quận 7, Phường Tân Hưng, Trần Xuân Soạn,12.5
21546888,95.0,95.0,4.0,4.0,Sổ hồng,10.84850788,106.82007598999996,2190.0,4.0,26.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0, Quận 9 (TP. Thủ Đức), Phường Long Thạnh Mỹ, Hoàng Hữu Nam,12.0
