name,district,price,bedroom,wc,acreage,link,date
Bán biệt thự tuyệt đẹp góc 2 mặt tiền An Phú AK 380m2 GIÁ CHỈ 76 TỶ,"Quận 2 (TP. Thủ Đức), TPHCM",75 tỷ,4 PN,5 WC,380 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-biet-thu-tuyet-dep-goc-2-mat-tien-an-phu-ak-380m2-gia-chi-76-ty-id21588460,2024-05-15
"Biêt Thự MT Đường 57 AP Q2 ,DT : 183m2 chỉ còn 23.5 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",23 tỷ 500 triệu,6 PN,6 WC,183 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/biet-thu-mt-duong-57-ap-q2-dt-183m2-chi-con-23-5-ty-id21393429,2024-05-15
"BÁN nhà mặt tiền đường 25,hiệp bình chánh,ven sông,giá 16,5 tỷ,dt 129m","Quận Thủ Đức (TP. Thủ Đức), TPHCM",16 tỷ 500 triệu,3 PN,2 WC,129 m2,https://mogi.vn/quan-thu-duc/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-25-hiep-binh-chanh-ven-song-gia-16-5-ty-dt-129m-id22558201,2024-05-15
"Bán nhà mặt tiền đường Xuân Thủy Thảo Điền, 10x16m Giá 50 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",50 tỷ,4 PN,2 WC,160 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-xuan-thuy-thao-dien-10x16m-gia-50-ty-id21783234,2024-05-15
"Nhà 1tx1l,ngay chợ hiệp bình, hiệp bình chánh,thủ đức,giá 6,350 tỷ,TL","Quận Thủ Đức (TP. Thủ Đức), TPHCM",6 tỷ 350 triệu,3 PN,3 WC,88 m2,https://mogi.vn/quan-thu-duc/mua-nha-mat-tien-pho/nha-1tx1l-ngay-cho-hiep-binh-hiep-binh-chanh-thu-duc-gia-6-350-ty-tl-id22558804,2024-05-15
"Bán siêu biệt thự Compound Eden Thảo Điền Q2, 486m2, 4 lầu cực đẹp","Quận 2 (TP. Thủ Đức), TPHCM",75 tỷ,5 PN,5 WC,486 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-sieu-biet-thu-compound-eden-thao-dien-q2-486m2-4-lau-cuc-dep-id21393064,2024-05-15
Bán biệt thự Thảo Điền Quận 2 TK kiểu Pháp cực đẹp DT 675m2 giá 149 tỷ,"Quận 2 (TP. Thủ Đức), TPHCM",149 tỷ,9 PN,10 WC,675 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-thao-dien-quan-2-tk-kieu-phap-cuc-dep-dt-675m2-gia-149-ty-id21729495,2024-05-15
"Biệt thự Thảo Điền đường Nguyễn Văn Hưởng - DT 15m x 20.5m,Giá 84 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",84 tỷ,5 PN,2 WC,305 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/biet-thu-thao-dien-duong-nguyen-van-huong-dt-15m-x-20-5m-gia-84-ty-id21787701,2024-05-15
"Bán biệt thự Cao Đức Lân, dt: 10x20m, 1 hầm 3 lầu, giá 53 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",53 tỷ,5 PN,3 WC,200 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-cao-duc-lan-dt-10x20m-1-ham-3-lau-gia-53-ty-id21787691,2024-05-15
"Bán siêu villa đẹp 1050m2 hồ bơi sân vườn P. Thảo Điền,150tr/m2","Quận 2 (TP. Thủ Đức), TPHCM",157 triệu 500 nghìn,2 PN,2 WC,1050 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-sieu-villa-dep-1050m2-ho-boi-san-vuon-p-thao-dien-150tr-m2-id21787734,2024-05-15
"Bán nhà đường Cao Đức Lân An Phú Quận 2 cực đẹp DT 10x20m, Giá 53 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",53 tỷ,5 PN,3 WC,200 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-duong-cao-duc-lan-an-phu-quan-2-cuc-dep-dt-10x20m-gia-53-ty-id21784883,2024-05-15
"Biệt thự 2 mặt tiền đường Cao Đức Lân, 14x24m,  hầm 3 lầu, Giá 60 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",60 tỷ,5 PN,2 WC,320 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/biet-thu-2-mat-tien-duong-cao-duc-lan-14x24m-ham-3-lau-gia-60-ty-id21787821,2024-05-15
"Bán biệt thự hồ bơi Phường Thảo Điền, Quận 2 (DT: 10 x 20m) Giá 35 tỷ","Quận 2 (TP. Thủ Đức), TPHCM",35 tỷ,5 PN,3 WC,200 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-ho-boi-phuong-thao-dien-quan-2-dt-10-x-20m-gia-35-ty-id21795603,2024-05-15
"Bán 400m2 Đất Ven Sông Sài Gòn Đường nhánh Trần Não, Bình An","Quận 2 (TP. Thủ Đức), TPHCM",56 tỷ,1 PN,1 WC,400 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-400m2-dat-ven-song-sai-gon-duong-nhanh-tran-nao-binh-an-id21423602,2024-05-15
Giá RẺ 53Tỷ! Bán GẤP MT Nguyễn Công Trứ Q1 4*18m vuông vức 3 Tầng ST,"Quận 1, TPHCM",53 tỷ,2 PN,3 WC,72 m2,https://mogi.vn/quan-1/mua-nha-mat-tien-pho/gia-re-53ty-ban-gap-mt-nguyen-cong-tru-q1-4-18m-vuong-vu-c-3-ta-ng-st-id21948681,2024-05-15
"Chính chủ bán gấp tòa VP Xuân Thủy 7x24m hầm 7 lầu HDT: 159,46 triệu.","Quận 2 (TP. Thủ Đức), TPHCM",55 tỷ,20 PN,7 WC,163 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/chinh-chu-ban-gap-toa-vp-xuan-thuy-7x24m-ham-7-lau-hdt-159-46-trieu-id21793301,2024-05-15
Chính chủ cần bán gấp building MT Nguyễn Thị Minh Khai 8.3x33m,"Quận 3, TPHCM",142 tỷ,11 PN,6 WC,450 m2,https://mogi.vn/quan-3/mua-nha-mat-tien-pho/chinh-chu-can-ban-gap-building-mt-nguyen-thi-minh-khai-8-3x33m-id21823041,2024-05-15
Bán biệt thự khu Fideco Thảo Điền hồ bơi sân vườn 504m2,"Quận 2 (TP. Thủ Đức), TPHCM",86 tỷ,5 PN,5 WC,504 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-khu-fideco-thao-dien-ho-boi-san-vuon-504m2-id21499755,2024-05-15
Bán biệt thự khu 215 Nguyễn Văn Hưởng Thảo Điền 200m2 nhà đẹp giá tốt,"Quận 2 (TP. Thủ Đức), TPHCM",41 tỷ,4 PN,5 WC,200 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-biet-thu-khu-215-nguyen-van-huong-thao-dien-200m2-nha-dep-gia-tot-id21536495,2024-05-15
Bán biệt thự hiện đại mặt tiền P. Thảo Điền Q2 DT 19x23  giá: 118 tỷ,"Quận 2 (TP. Thủ Đức), TPHCM",118 tỷ,5 PN,2 WC,459 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/ban-biet-thu-hien-dai-mat-tien-p-thao-dien-q2-dt-19x23-gia-118-ty-id21787838,2024-05-15
