name,district,price,bedroom,wc,acreage,link,date
"Nhà mới HXT Ông Ích Khiêm Q11, 5 tầng, TẶNG FULL NỘI THẤT, giá 11,2tỷ","Quận 11, TPHCM",11 tỷ 200 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-11/mua-nha-hem-ngo/nha-moi-hxt-ong-ich-khiem-q11-5-tang-tang-full-noi-that-gia-11-2ty-id22534907,2024-04-25
Bán nhà mặt tiền đường Số 66 Thảo Điền 4x25m vuông vức được xây 4 tầng,"Quận 2 (TP. Thủ Đức), TPHCM",13 tỷ,8 PN,8 WC,160 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/ban-nha-mat-tien-duong-so-66-thao-dien-4x25m-vuong-vuc-duoc-xay-4-tang-id22539325,2024-04-25
"SIÊU HIẾM DIỆN TÍCH KHỦNG 445m2, Tân Phú, giá 38,6 tỷ TL","Quận Tân Phú, TPHCM",3860 tỷ,4 PN,5 WC,52 m2,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/sieu-hiem-dien-tich-khung-445m2-tan-phu-gia-38-6-ty-tl-id22546032,2024-04-25
Nhà 4 tầng . Có hầm xe riêng . Ngay bệnh Viện Q12 . Bán cực Gấp.,"Quận 12, TPHCM",4 tỷ 300 triệu,8 PN,9 WC,120 m2,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/nha-4-tang-co-ham-xe-rieng-ngay-benh-vien-q12-ban-cuc-gap-id22542894,2024-04-25
"Bán nhà Hẻm Ba Gác Thông Lê Quang Định P.7 Q.BT 33m2, 5PN, chỉ 4tỷ9","Quận Bình Thạnh, TPHCM",4 tỷ 900 triệu,0 PN,0 WC,445 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-hem-ba-gac-thong-le-quang-dinh-p-7-q-bt-33m2-5pn-chi-4ty9-id22524911,2024-04-25
"Bán Nhà Mới Đẹp,Hẻm Ba Gác sát HXH, Lê Quang Định P.5 BT 63M2, 6 tỷ95","Quận Bình Thạnh, TPHCM",6 tỷ 950 triệu,3 PN,4 WC,60 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-moi-dep-hem-ba-gac-sat-hxh-le-quang-dinh-p-5-bt-63m2-6-ty95-id22521691,2024-04-25
"Bán toà nhà VP Gold Star Lý Thường Kiệt. hầm 9 lầu Q.10, (2850m)","Quận 10, TPHCM",75 tỷ,5 PN,6 WC,33 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-toa-nha-vp-gold-star-ly-thuong-kiet-ham-9-lau-q-10-2850m-id22492767,2024-04-25
"Bán Nhà Mới Đẹp , HXH đỗ cửa Thống Nhất P.11 Gò Vấp 45m2, 3PN, 6 tỷ5","Quận Gò Vấp, TPHCM",6 tỷ 500 triệu,4 PN,4 WC,63 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-moi-dep-hxh-do-cua-thong-nhat-p-11-go-vap-45m2-3pn-6-ty5-id22539926,2024-04-25
"Em Nhi chuyên Quận 2, bán Nhà Phố DT 160m2 giá 28 tỷ có thang máy&hầm","Quận 2 (TP. Thủ Đức), TPHCM",28 tỷ,20 PN,20 WC,300 m2,https://mogi.vn/quan-2/mua-nha-mat-tien-pho/em-nhi-chuyen-quan-2-ban-nha-pho-dt-160m2-gia-28-ty-co-thang-may-ham-id22449037,2024-04-25
"HXH gần Lũy Bán Bích-Tân Phú, KV an ninh, 46m2, CHỈ HƠN 4 TỶ","Quận Tân Phú, TPHCM",4 tỷ 400 triệu,3 PN,5 WC,45 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/hxh-gan-luy-ban-bich-tan-phu-kv-an-ninh-46m2-chi-hon-4-ty-id22546057,2024-04-25
"Bán nhà cách Hẻm xe hơi 4m Đường Số 4, P16, GV, 3.7 x 9m, giá: 3.08 tỷ","Quận Gò Vấp, TPHCM",3 tỷ 80 triệu,8 PN,8 WC,160 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-cach-hem-xe-hoi-4m-duong-so-4-p16-gv-3-7-x-9m-gia-3-08-ty-id22524066,2024-04-25
Bán nhà hẻm 3m Trần Tấn- Tân Phú.DT 4x15. 1 Lầu giá  rẻ chỉ hơn 5 TỶ,"Quận Tân Phú, TPHCM",5 tỷ 200 triệu,2 PN,2 WC,46 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/ban-nha-hem-3m-tran-tan-tan-phu-dt-4x15-1-lau-gia-re-chi-hon-5-ty-id22538604,2024-04-25
"Gia đình gấp bán nhà Thị Trấn Hóc Môn, nhỉnh 3 tỷ nhà gần 100m2 HXH","Huyện Hóc Môn, TPHCM",3 tỷ 999 triệu,2 PN,1 WC,33 m2,https://mogi.vn/huyen-hoc-mon/mua-nha-hem-ngo/gia-dinh-gap-ban-nha-thi-tran-hoc-mon-nhinh-3-ty-nha-gan-100m2-hxh-id22503410,2024-04-25
QUANG TRUNG GÒ VẤP - 4.3 x 16 (69m2) - 4 tầng BTCT - 2 mặt hẻm 8m,"Quận Gò Vấp, TPHCM",6 tỷ 500 triệu,2 PN,2 WC,58 m2,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/quang-trung-go-vap-4-3-x-16-69m2-4-tang-btct-2-mat-hem-8m-id22400783,2024-04-25
"Bán GẤP nhà 3 tầng đẹp HXT Lê Thị Riêng, Thới An, Quận 12, 55m2 nhỉnh","Quận 12, TPHCM",4 tỷ 490 triệu,3 PN,2 WC,99 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-gap-nha-3-tang-dep-hxt-le-thi-rieng-thoi-an-quan-12-55m2-nhinh-id22507065,2024-04-25
NHÀ SIÊU ĐẸP- 3 PN - 50M2 - Hxh - DƯỚI 4.85 TỶ- Tân Sơn nhì- Tân Phú,"Quận Tân Phú, TPHCM",4 tỷ 800 triệu,8 PN,9 WC,100 m2,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/nha-sieu-dep-3-pn-50m2-hxh-duoi-4-85-ty-tan-son-nhi-tan-phu-id22315083,2024-04-25
Ngộp Bank Bán Gấp Nhà 4 Tầng Chỉ Hơn 4 Tỷ.,"Quận 12, TPHCM",4 tỷ 750 triệu,8 PN,8 WC,160 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ngop-bank-ban-gap-nha-4-tang-chi-hon-4-ty-id22451292,2024-04-25
"Bán nhà HXH Đường Số 8, P.11, GV, 4.7 x 13m, giá: 4.95 tỷ tl","Quận Gò Vấp, TPHCM",4 tỷ 950 triệu,3 PN,3 WC,50 m2,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/ban-nha-hxh-duong-so-8-p-11-gv-4-7-x-13m-gia-4-95-ty-tl-id22502381,2024-04-25
"Bán nhà H4m Tân Kỳ Tân Quý-pTSN-Tân Phú.Dt 4x13, 1 lầu giá chỉ 5.2 tỷ","Quận Tân Phú, TPHCM",5 tỷ 200 triệu,4 PN,4 WC,54 m2,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/ban-nha-h4m-tan-ky-tan-quy-ptsn-tan-phu-dt-4x13-1-lau-gia-chi-5-2-ty-id22538584,2024-04-25
"HẺM 1 XẸT XE TẢI TRÁNH ĐƯỜNG SỐ 6 - Bình Tân -58m2 - 3 tầng BTCT, 4PN","Quận Bình Tân, TPHCM",3 tỷ 900 triệu,2 PN,2 WC,61 m2,https://mogi.vn/quan-binh-tan/mua-nha-hem-ngo/hem-1-xet-xe-tai-tranh-duong-so-6-binh-tan-58m2-3-tang-btct-4pn-id22423906,2024-04-25
Bán Nhà Rẻ Quận 12 - Nguyễn Ảnh Thủ - 42m2 - 3 TẦNG CHỈ NHỈNH 4tỷ.,"Quận 12, TPHCM",4 tỷ 300 triệu,2 PN,2 WC,45 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/ban-nha-re-quan-12-nguyen-anh-thu-42m2-3-tang-chi-nhinh-4ty-id22474576,2024-04-25
